中文名稱,英文名稱,近臺強度,最低氣壓(hPa),近臺,最大風速(m/s),7級風暴風半徑(km),10級風暴風半徑(km),發布警報時間,解除警報時間
艾維尼,EWINIAR,中度,925,43,300,80,11,2006-07-07 23:30,2006-07-09 05:30
珍珠,CHANCHU,中度,943,45,300,100,17,2006-05-16 17:30,2006-05-18 17:30
龍王,LONGWANG,強烈,925,51,200,80,21,2005-09-30 20:30,2005-10-03 08:30
丹瑞,DAMREY,輕度,955,25,200,---,17,2005-09-21 10:30,2005-09-23 08:30
卡努,KHANUN,中度,950,43,200,80,16,2005-09-09 17:30,2005-09-11 14:30
泰利,TALIM,強烈,920,53,250,100,22,2005-08-30 08:30,2005-09-01 23:30
珊瑚,SANVU,輕度,985,25,200,---,19,2005-08-11 16:00,2005-08-13 20:30
馬莎,MATSA,中度,955,40,250,80,25,2005-08-03 08:30,2005-08-06 08:30
海棠,HAITANG,強烈,912,55,280,120,29,2005-07-16 14:30,2005-07-20 02:30
南瑪都,NANMADOL,中度,940,38,250,80,13,2004-12-03 02:30,2004-12-04 14:30
納坦,NOCK-TEN,中度,945,43,250,100,19,2004-10-23 20:30,2004-10-26 02:30
米雷,MEARI,中度,940,40,200,80,11,2004-09-26 08:30,2004-09-27 14:30
海馬,HAIMA,輕度,998,18,100,---,12,2004-09-11 23:30,2004-09-13 08:30
艾利,AERE,中度,960,38,200,50,28,2004-08-23 02:30,2004-08-26 11:30
蘭寧,RANANIM,中度,955,40,250,100,18,2004-08-10 23:30,2004-08-13 02:30
康柏斯,KOMPASU,輕度,995,20,100,---,10,2004-07-14 09:30,2004-07-15 11:30
敏督利,MINDULLE,中度,942,45,250,100,39,2004-06-28 17:30,2004-07-03 11:30
康森,CONSON,中度,970,33,150,50,19,2004-06-07 17:30,2004-06-09 23:30
米勒,MELOR,輕度,975,25,150,---,15,2003-11-02 05:30,2003-11-03 23:30
杜鵑,DUJUAN,中度,950,43,250,100,19,2003-08-31 12:30,2003-09-02 17:30
科羅旺,KROVANH,中度,970,33,250,100,11,2003-08-22 08:30,2003-08-23 14:30
梵高,VAMCO,輕度,998,18,100,---,9,2003-08-19 12:30,2003-08-20 11:30
莫拉克,MORAKOT,輕度,990,23,100,---,19,2003-08-02 17:30,2003-08-04 23:30
尹布都,IMBUDO,中度,935,48,300,120,15,2003-07-21 20:30,2003-07-23 14:30
蘇迪勒,SOUDELOR,中度,960,38,200,50,18,2003-06-16 15:30,2003-06-18 17:30
南卡,NANGKA,輕度,990,23,100,---,11,2003-06-01 20:30,2003-06-03 02:30
柯吉拉,KUJIRA,中度,925,43,250,100,30,2003-04-21 05:30,2003-04-24 20:30
辛樂克,SINLAKU,中度,950,40,300,100,33,2002-09-04 05:15,2002-09-08 05:50
娜克莉,NAKRI,輕度,987,18,80,---,15,2002-07-09 05:50,2002-07-10 23:05
雷馬遜,RAMMASUN,中度,950,45,300,100,18,2002-07-02 14:45,2002-07-04 17:25
海燕,HAIYAN,中度,965,35,250,100,14,2001-10-15 08:15,2001-10-16 23:15
利奇馬,LEKIMA,中度,965,35,180,50,37,2001-09-23 20:30,2001-09-28 09:10
納莉,NARI,中度,960,40,150,50,12,2001-09-08 23:50,2001-09-10 09:00
納莉,NARI,中度,960,40,150,50,52,2001-09-13 15:00,2001-09-19 23:05
桃芝,TORAJI,中度,962,38,250,100,28,2001-07-28 05:25,2001-07-31 14:35
玉兔,YUTU,輕度,962,30,150,---,8,2001-07-23 20:10,2001-07-24 17:20
潭美,TRAMI,輕度,995,20,80,---,13,2001-07-10 09:40,2001-07-11 21:00
尤特,UTOR,中度,960,38,350,120,20,2001-07-03 14:45,2001-07-05 23:10
奇比,CHEBI,中度,965,35,200,80,19,2001-06-22 03:00,2001-06-24 08:20
西馬隆,CIMARON,輕度,990,23,150,---,20,2001-05-11 11:15,2001-05-13 20:05
貝碧佳,BEBINCA,輕度,970,28,200,---,9,2000-11-06 10:15,2000-11-07 08:55
象神,XANGSANE,中度,960,38,250,100,17,2000-10-30 20:15,2000-11-01 20:05
雅吉,YAGI,中度,970,33,180,50,21,2000-10-23 20:20,2000-10-26 08:50
寶發,BOPHA,輕度,990,23,180,---,17,2000-09-08 15:15,2000-09-10 15:00
巴比侖,PRAPIROON,中度,965,33,250,---,23,2000-08-27 20:45,2000-08-30 14:20
碧利斯,BILIS,強烈,930,53,300,120,21,2000-08-21 08:25,2000-08-23 20:05
啟德,KAI-TAK,中度,965,35,150,50,30,2000-07-06 11:43,2000-07-10 03:00
丹恩,DAN,中度,968,38,250,80,43,1999-10-04 14:15,1999-10-09 20:10
山姆,SAM,輕度,970,30,200,---,18,1999-08-19 20:15,1999-08-21 23:26
瑪姬,MAGGIE,中度,965,38,250,100,20,1999-06-04 14:30,1999-06-06 22:24
芭比絲,BABS,中度,950,35,250,100,18,1998-10-25 20:40,1998-10-27 23:05
瑞伯,ZEB,強烈,920,55,350,150,30,1998-10-13 14:20,1998-10-17 06:45
楊妮,YANNI,輕度,975,25,100,---,14,1998-09-27 23:30,1998-09-29 14:45
奧托,OTTO,輕度,985,30,150,---,17,1998-08-03 09:45,1998-08-05 09:00
妮蔻兒,NICHOLE,輕度,998,18,100,---,10,1998-07-09 05:55,1998-07-10 09:45
艾文,IVAN,強烈,905,55,250,100,16,1997-10-19 20:25,1997-10-21 17:10
卡絲,CASS,輕度,995,20,100,---,8,1997-08-29 23:40,1997-08-30 20:20
安珀,AMBER,中度,945,48,250,100,23,1997-08-27 08:35,1997-08-30 02:35
溫妮,WINNIE,中度,905,43,300,100,21,1997-08-16 14:35,1997-08-19 03:00
薩恩,ZANE,中度,955,43,200,80,11,1996-09-27 14:55,1996-09-28 20:25
魏萊特,VIOLET,強烈,940,51,300,120,9,1996-09-15 20:30,1996-09-16 21:00
莎莉,SALLY,中度,950,48,250,80,12,1996-09-07 09:00,1996-09-08 17:45
麗莎,LISA,輕度,993,20,100,---,6,1996-08-06 16:40,1996-08-07 05:40
賀伯,HERB,強烈,920,53,350,150,29,1996-07-29 11:30,1996-08-01 23:20
葛樂禮,GLORIA,中度,965,35,250,80,26,1996-07-24 11:45,1996-07-27 15:30
凱姆,CAM,輕度,995,20,150,---,24,1996-05-20 21:35,1996-05-23 18:00
