中文名稱,英文名稱,近臺強度,最低氣壓(hPa),近臺,最大風速(m/s),7級風暴風半徑(km),10級風暴風半徑(km),發布警報時間,解除警報時間
娜定,NADINE,強烈,900,70,350,200,11,1971-07-24 10:20,1971-07-26 21:00
露西,LUCY,強烈,915,55,350,150,11,1971-07-18 22:30,1971-07-21 22:30
寶佩,BABE,輕度,990,25,---,---,3,1971-05-05 10:30,1971-05-06 10:30
芙安,FRAN,輕度,975,25,200,---,6,1970-09-06 10:40,1970-09-07 16:00
魏達,WILDA,中度,940,40,300,---,5,1970-08-10 10:30,1970-08-12 10:20
歐加,OLGA,強烈,904,55,200,---,8,1970-07-01 10:30,1970-07-03 21:30
芙勞西,FLOSSIE,中度,946,33,200,---,14,1969-09-30 22:00,1969-10-03 22:30
艾爾西,ELSIE,強烈,895,65,400,---,9,1969-09-25 16:00,1969-09-27 15:40
寇拉,CORA,中度,934,40,250,---,5,1969-08-18 10:20,1969-08-19 15:20
貝蒂,BETTY,中度,973,35,150,---,7,1969-08-07 09:40,1969-08-08 21:20
溫妮,WINNIE,輕度,984,25,100,---,3,1969-07-31 10:20,1969-08-01 10:10
衛歐拉,VIOLA,強烈,895,60,350,---,12,1969-07-25 10:20,1969-07-28 21:20
艾琳,ELAINE,強烈,910,60,400,---,16,1968-09-27 10:20,1968-10-01 10:20
黛拉,DELLA,強烈,930,51,250,---,4,1968-09-21 16:30,1968-09-22 21:30
范迪,WENDY,中度,915,45,300,---,19,1968-09-02 22:00,1968-09-07 22:00
雪莉,SHIRLEY,輕度,955,30,250,---,6,1968-08-18 21:40,1968-08-21 10:00
玻莉,POLLY,輕度,965,30,150,---,4,1968-08-14 10:00,1968-08-15 21:20
羅絲,ROSE,輕度,968,30,200,---,4,1968-08-10 11:00,1968-08-11 21:20
娜定,NADINE,輕度,960,25,200,---,14,1968-07-22 22:00,1968-07-26 22:10
娜定,NADINE,輕度,960,25,100,---,3,1968-07-28 12:30,1968-07-28 21:50
吉達,GILDA,強烈,910,60,400,---,12,1967-11-15 22:10,1967-11-18 21:40
黛納,DINAH,中度,950,45,350,---,7,1967-10-24 22:40,1967-10-26 16:00
解拉,CARLA,強烈,900,60,400,---,11,1967-10-15 22:30,1967-10-18 22:00
娜拉,NORA,中度,982,33,200,---,11,1967-08-28 22:40,1967-08-30 10:20
瑪芝,MARGE,強烈,935,60,200,---,11,1967-08-26 22:20,1967-08-30 10:20
葛萊拉,CLARA,中度,960,40,200,---,11,1967-07-09 10:30,1967-07-12 09:10
畢莉,BILLIE,中度,980,35,200,---,6,1967-07-04 22:30,1967-07-07 10:20
艾妮達,ANITA,中度,972,35,250,---,9,1967-06-27 23:20,1967-06-30 10:30
衛萊特,VIOLET,強烈,930,51,250,---,12,1967-04-07 10:40,1967-04-11 16:20
海倫,HELEN,輕度,978,25,200,---,6,1966-09-20 16:00,1966-09-22 15:40
艾爾西,ELSIE,強烈,943,51,200,---,6,1966-09-14 15:50,1966-09-17 05:00
寇拉,CORA,強烈,917,60,200,---,15,1966-09-03 22:20,1966-09-07 10:30
艾麗絲,ALICE,中度,936,40,150,---,7,1966-09-01 22:30,1966-09-03 21:55
蒂絲,TESS,中度,965,38,200,---,10,1966-08-14 16:50,1966-08-17 10:00
蘇珊,SUSAN,中度,985,35,100,---,10,1966-08-14 16:50,1966-08-17 10:00
妮娜,NINA,中度,995,35,150,---,7,1966-07-18 09:00,1966-07-19 15:30
瑪美,MAMIE,中度,993,35,100,---,3,1966-07-16 15:40,1966-07-17 10:00
裘迪,JUDY,中度,970,40,150,---,12,1966-05-28 10:30,1966-05-31 10:00
伊瑪,IRMA,中度,960,40,150,---,4,1966-05-19 22:10,1966-05-21 10:10
費依,FAYE,強烈,930,65,---,---,3,1965-11-23 23:00,1965-11-24 22:30
崔絲,TRIX,強烈,930,60,---,---,4,1965-09-14 23:00,1965-09-16 10:00
羅絲,ROSE,中度,990,45,---,---,5,1965-09-01 23:00,1965-09-03 22:00
瑪麗,MARY,強烈,950,75,---,---,9,1965-08-17 10:00,1965-08-19 21:50
琴恩,JEAN,強烈,950,55,250,---,7,1965-08-01 22:20,1965-08-04 21:45
艾葳,IVY,中度,990,35,200,---,4,1965-07-28 22:35,1965-07-30 09:45
哈莉,HARRIET,強烈,970,51,300,---,11,1965-07-24 22:50,1965-07-27 09:40
芙瑞達,FREDA,強烈,922,70,300,---,6,1965-07-12 16:30,1965-07-14 10:45
鶯瑪,EMMA,輕度,990,30,120,---,8,1965-06-23 23:00,1965-06-25 22:00
黛納,DINAH,強烈,932,65,200,---,12,1965-06-16 10:15,1965-06-19 10:15
寶佩,BABE,中度,990,33,150,---,2,1965-06-04 09:30,1965-06-04 22:10
歐珀,OPAL,強烈,920,75,450,---,3,1964-12-14 10:00,1964-12-15 10:20
戴特,DOT,中度,972,35,150,---,3,1964-10-09 16:30,1964-10-10 10:20
蒂達,TILDA,中度,970,45,150,---,8,1964-09-14 10:40,1964-09-15 22:00
沙莉,SALLY,強烈,885,75,300,---,12,1964-09-07 16:20,1964-09-10 10:40
魯碧,RUBY,中度,970,35,150,---,7,1964-09-02 11:10,1964-09-04 10:20
梅瑞,MARIE,中度,980,35,200,---,13,1964-08-16 23:00,1964-08-20 10:00
凱西,KATHY,強烈,945,55,250,---,13,1964-08-16 23:00,1964-08-20 10:00
裘恩,JUNE,輕度,996,20,120,---,4,1964-08-11 23:30,1964-08-13 10:30
艾達,IDA,強烈,925,65,300,---,8,1964-08-05 22:30,1964-08-08 10:10
芙勞西,FLOSSIE,輕度,975,30,150,---,3,1964-07-26 22:20,1964-07-27 16:45
都麗絲,DORIS,中度,980,40,200,---,7,1964-07-13 22:30,1964-07-15 16:00
貝蒂,BETTY,中度,958,45,200,---,10,1964-07-03 06:00,1964-07-05 11:00
溫妮,WINNIE,中度,950,45,350,---,4,1964-06-28 22:40,1964-06-30 10:20
衛歐拉,VIOLA,中度,980,33,250,---,4,1964-05-26 16:20,1964-05-27 22:10
葛樂禮,GLORIA,強烈,920,68,400,---,15,1963-09-08 11:00,1963-09-12 10:30
費依,FAYE,強烈,960,51,300,---,8,1963-09-03 22:00,1963-09-05 22:10
艾妮絲,AGNES,中度,995,43,200,---,8,1963-07-19 10:10,1963-07-21 16:00
范迪,WENDY,強烈,930,65,300,---,11,1963-07-14 10:50,1963-07-17 09:40
崔絲,TRIX,中度,985,33,300,---,16,1963-06-27 22:30,1963-07-01 22:10
雪莉,SHIRLEY,強烈,935,60,300,---,7,1963-06-16 11:00,1963-06-18 23:00
羅絲,ROSE,輕度,995,25,150,---,8,1963-06-08 16:30,1963-06-11 22:40
凱倫,KAREN,強烈,---,70,400,---,7,1962-11-13 22:25,1962-11-15 21:55
吉達,GILDA,強烈,---,53,350,---,5,1962-10-25 22:20,1962-10-27 21:50
黛納,DINAH,強烈,950,51,350,---,12,1962-10-01 07:30,1962-10-03 22:00
愛美,AMY,強烈,910,70,400,---,19,1962-09-01 16:15,1962-09-06 09:45
萬達,WANDA,中度,945,48,350,---,11,1962-08-28 22:30,1962-08-31 21:40
莎拉,SARAH,強烈,---,55,150,---,16,1962-08-15 20:00,1962-08-19 10:00
歐珀,OPAL,強烈,905,75,350,---,12,1962-08-03 10:00,1962-08-06 22:00
娜拉,NORA,中度,---,35,400,---,10,1962-07-29 10:15,1962-08-01 15:40
魯依絲,LOUISE,---,---,48,250,---,---,1962-07-19 17:00,1962-07-23 21:50
凱蒂,KATE,中度,965,38,200,---,18,1962-07-19 17:00,1962-07-23 21:50
瓊安,JOAN,中度,---,40,200,---,5,1962-07-07 22:30,1962-07-09 22:00
艾瑞絲,IRIS,中度,---,33,100,---,4,1962-05-28 07:30,1962-05-29 10:00
賀普,HOPE,中度,---,33,200,---,6,1962-05-19 10:00,1962-05-20 15:25
蒂達,TILDA,強烈,925,65,400,---,11,1961-10-01 22:00,1961-10-04 10:00
沙莉,SALLY,中度,980,40,300,---,10,1961-09-26 22:30,1961-09-29 11:00
魯碧,RUBY,---,998,28,80,---,---,1961-09-26 22:30,1961-09-29 11:00
波密拉,PAMELA,強烈,915,65,250,---,7,1961-09-11 10:00,1961-09-12 22:00
歐加,OLGA,---,985,36,150,---,---,1961-08-23 22:30,1961-08-26 10:30
南施,NANCY,強烈,846,100,650,---,7,1961-09-13 11:30,1961-09-15 10:30
梅瑞,MARIE,---,998,23,120,---,---,1961-08-04 23:00,1961-08-08 11:30
勞娜,LORNA,強烈,947,60,300,---,9,1961-08-23 22:30,1961-08-26 10:30
裘恩,JUNE,中度,960,50,150,---,12,1961-08-04 23:00,1961-08-08 11:30
海倫,HELEN,---,972,51,200,---,---,1961-07-13 00:30,1961-07-15 10:00
葛瑞絲,GRACE,---,998,21,80,---,---,1961-06-30 11:00,1961-07-01 12:00
芙勞西,FLOSSIE,輕度,992,20,150,---,6,1961-07-16 23:30,1961-07-19 11:00
艾爾西,ELSIE,中度,975,45,150,---,9,1961-07-13 00:30,1961-07-15 10:00
都麗絲,DORIS,輕度,990,20,150,---,5,1961-06-30 11:00,1961-07-01 23:00
貝蒂,BETTY,強烈,945,60,300,---,13,1961-05-24 18:00,1961-05-27 22:00
艾麗絲,ALICE,中度,985,40,250,---,4,1961-05-19 10:30,1961-05-20 23:00
葛樂禮,GLORIA,輕度,1002,18,100,---,3,1960-09-02 13:00,1960-09-03 12:00
艾琳,ELAINE,中度,975,40,150,---,18,1960-08-20 18:00,1960-08-24 23:00
卡門,CARMEN,中度,975,35,200,---,10,1960-08-16 00:00,1960-08-20 18:00
艾妮絲,AGNES,輕度,994,25,200,---,6,1960-08-13 13:00,1960-08-15 12:00
佛琴尼,VIRGINI,---,---,---,---,---,---,1960-08-13 13:00,1960-08-15 12:00
崔絲,TRIX,強烈,930,60,300,---,9,1960-08-07 00:00,1960-08-09 11:00
雪莉,SHIRLEY,強烈,920,55,250,---,15,1960-07-30 00:00,1960-08-02 17:00
羅絲,ROSE,---,---,---,---,---,---,1960-07-30 00:00,1960-08-02 17:00
玻莉,POLLY,中度,950,40,250,---,12,1960-07-18 13:00,1960-07-21 10:00
玻莉,POLLY,強烈,950,55,300,---,13,1960-07-22 00:00,1960-07-27 10:00
歐莉芙,OLIVE,中度,950,45,200,---,9,1960-06-26 00:00,1960-06-30 00:00
娜定,NADINE,中度,985,35,250,---,4,1960-06-05 00:00,1960-06-06 13:00
瑪麗,MARY,中度,980,35,300,---,11,1960-06-07 01:00,1960-06-11 12:00
凱倫,KAREN,輕度,990,25,150,---,4,1960-04-25 18:00,1960-04-27 00:00
芙瑞達,FREDA,中度,945,40,250,---,9,1959-11-17 12:00,1959-11-19 23:00
鶯瑪,EMMA,中度,960,45,250,---,6,1959-11-10 23:00,1959-11-13 12:00
夏綠蒂,CHARLOTTE,強烈,905,55,250,---,15,1959-10-12 11:00,1959-10-16 23:00
巴布絲,BABS,輕度,1000,18,150,---,9,1959-10-08 00:00,1959-10-09 22:00
愛美,AMY,中度,990,35,250,---,8,1959-10-03 18:00,1959-10-06 12:00
莎拉,SARAH,強烈,905,60,400,---,11,1959-09-14 00:00,1959-09-16 23:00
娜拉,NORA,輕度,990,18,150,---,5,1959-09-08 00:00,1959-09-09 18:00
娜拉,NORA,輕度,990,25,200,---,4,1959-09-11 09:00,1959-09-12 12:00
魯依絲,LOUISE,中度,965,45,250,---,12,1959-09-02 01:00,1959-09-05 12:00
凱蒂,KATE,輕度,998,20,150,---,4,1959-08-26 18:00,1959-08-28 12:00
瓊安,JOAN,強烈,885,75,600,---,13,1959-08-28 12:00,1959-08-31 12:00
艾瑞絲,IRIS,中度,960,45,250,---,12,1959-08-20 18:00,1959-08-23 12:00
艾倫,ELLEN,中度,965,45,300,---,6,1959-08-04 00:00,1959-08-06 00:00
畢莉,BILLIE,中度,965,45,300,---,11,1959-07-13 00:00,1959-07-16 18:00
魏達,WILDA,輕度,995,25,150,---,4,1959-07-04 23:00,1959-07-06 12:00
海倫,HELEN,強烈,920,55,300,---,8,1958-09-12 00:00,1958-09-15 12:00
葛瑞絲,GRACE,強烈,910,75,350,---,13,1958-09-01 12:00,1958-09-04 23:00
貝蒂,BETTY,---,985,---,---,---,---,1958-07-13 12:00,1958-07-16 12:00
溫妮,WINNIE,強烈,925,50,350,---,12,1958-07-13 12:00,1958-07-17 00:00
蒂絲,TESS,中度,995,30,150,---,3,1958-07-05 00:00,1958-07-06 00:00
